run_dir,run_name,method,held_out_ur,eval_ur,metric,value
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,4.0,Force mapping NRMSE,0.004696076
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,5.0,Disp rollout NRMSE,0.04597096
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,5.0,Force rollout NRMSE,0.06957467
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,5.0,Force mapping NRMSE,0.04195077
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,6.0,Disp rollout NRMSE,0.03335243
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,6.0,Force rollout NRMSE,0.05179734
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,6.0,Force mapping NRMSE,0.02052218
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,7.0,Disp rollout NRMSE,0.03029656
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,7.0,Force rollout NRMSE,0.03678916
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,7.0,Force mapping NRMSE,0.007000724
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,8.0,Disp rollout NRMSE,0.03204604
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,8.0,Force rollout NRMSE,0.03588674
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,8.0,Force mapping NRMSE,0.003611555
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,9.0,Disp rollout NRMSE,0.03425339
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,9.0,Force rollout NRMSE,0.03718851
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,9.0,Force mapping NRMSE,0.002875698
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,10.0,Disp rollout NRMSE,0.0328191
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,10.0,Force rollout NRMSE,0.03514891
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,10.0,Force mapping NRMSE,0.002409681
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,11.0,Disp rollout NRMSE,0.04382443
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,11.0,Force rollout NRMSE,0.04595471
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,11.0,Force mapping NRMSE,0.002515488
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,12.0,Disp rollout NRMSE,0.05601433
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,12.0,Force rollout NRMSE,0.05834803
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur12_0211-133534,phnnSS2_Ur12_0211-133534,phnn,12.0,12.0,Force mapping NRMSE,0.003774451
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,1.0,Disp rollout NRMSE,1.600632
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,1.0,Force rollout NRMSE,1.611745
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,1.0,Force mapping NRMSE,1.045117
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,2.0,Disp rollout NRMSE,0.04687773
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,2.0,Force rollout NRMSE,0.04684061
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,2.0,Force mapping NRMSE,0.007883137
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,3.0,Disp rollout NRMSE,0.008978396
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,3.0,Force rollout NRMSE,0.008940634
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,3.0,Force mapping NRMSE,0.002022695
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,4.0,Disp rollout NRMSE,0.03184715
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,4.0,Force rollout NRMSE,0.03245665
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,4.0,Force mapping NRMSE,0.002115043
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,5.0,Disp rollout NRMSE,0.02695091
